ANO_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,139,44444,ANDERSON CARNEIRO DA SILVA,1,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,143,44444,ANDERSON CARNEIRO DA SILVA,4,1236
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,145,44444,ANDERSON CARNEIRO DA SILVA,2,1252
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,148,44444,ANDERSON CARNEIRO DA SILVA,4,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,150,44444,ANDERSON CARNEIRO DA SILVA,5,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,151,44444,ANDERSON CARNEIRO DA SILVA,1,1252
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,152,44444,ANDERSON CARNEIRO DA SILVA,2,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,153,44444,ANDERSON CARNEIRO DA SILVA,2,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,154,44444,ANDERSON CARNEIRO DA SILVA,1,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,157,44444,ANDERSON CARNEIRO DA SILVA,1,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,159,44444,ANDERSON CARNEIRO DA SILVA,2,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,161,44444,ANDERSON CARNEIRO DA SILVA,5,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,162,44444,ANDERSON CARNEIRO DA SILVA,4,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,164,44444,ANDERSON CARNEIRO DA SILVA,4,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,165,44444,ANDERSON CARNEIRO DA SILVA,2,1228
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,168,44444,ANDERSON CARNEIRO DA SILVA,3,1163
