Município,Nome,Endereço,Bairro,Seções,Seções Especiais,zona_eleitoral
SÃO BERNARDO DO CAMPO,EE. VINTE DE AGOSTO,"AVENIDA KENNEDY, 919",JARDIM DO MAR,Da 129ª à 140ª; 347ª;,347ª;,283
SÃO BERNARDO DO CAMPO,EE. WALLACE COCKRANE SIMONSEN,"RUA TASMAN, 449",JARDIM DO MAR,Da 151ª à 160ª; 206ª; 219ª; 228ª; 231ª; 251ª; 264ª; 275ª;,264ª;,283
SÃO BERNARDO DO CAMPO,EMEB. CASSIANO RICARDO,"AVENIDA MOINHO FABRINI, 680",JARDIM VERA CRUZ,334ª; 338ª; 344ª; 354ª; 362ª; 368ª;,334ª; 338ª; 344ª; 354ª; 362ª; 368ª;,283
SÃO BERNARDO DO CAMPO,EMEB. DOUTOR JOSÉ FERRAZ DE MAGALHÃES CASTRO,"RUA DOUTOR JOSÉ FERRAZ DE MAGALHÃES CASTRO,155",VILA ROSA,Da 107ª à 112ª; 211ª; 253ª; 282ª; 308ª;,110ª;,283
SÃO BERNARDO DO CAMPO,EMEB. DOUTOR VICENTE ZAMMITE MAMMANA,"RUA CARLOS AYRES, 400 (EMEB PEDRA DE CARVALHO)",INDEPENDÊNCIA,Da 75ª à 85ª; 346ª; 353ª;,346ª;,283
SÃO BERNARDO DO CAMPO,EMEB. PROFº GERALDO HYPÓLITO,"RUA CONTINENTAL, 785",JARDIM DO MAR,Da 141ª à 150ª; 204ª;,146ª;,283
SÃO BERNARDO DO CAMPO,EMEB. PROFª JANDIRA MARIA CASONATO,"RUA PADRE CARMELO, 59",JORDANÓPOLIS,256ª; 276ª; 291ª; 305ª; 320ª; 329ª; 332ª; 343ª; 352ª; 359ª;,329ª;,283
SÃO BERNARDO DO CAMPO,EMEB. PROFª MARIA JUSTINA DE CAMARGO,"RUA ANTONIO PEREIRA DE MATOS, 100",JARDIM VERA CRUZ,Da 113ª à 120ª; 216ª; 252ª; 281ª; 335ª;,113ª; 114ª; 115ª; 116ª; 117ª; 118ª; 119ª; 120ª; 216ª; 252ª; 281ª; 335ª;,283
SÃO BERNARDO DO CAMPO,EMEB. PROFª PEDRA DE CARVALHO,"RUA CARLOS AYRES, 400",JARDIM VERA CRUZ,Da 169ª à 178ª; 207ª; 230ª; 241ª; 249ª; 272ª; 283ª; 295ª; 300ª; 310ª; 315ª;,310ª;,283
SÃO BERNARDO DO CAMPO,EMEB. PROFª SYLVIA MARILENA FANTACINI ZANETTI,"RUA SILAS DE OLIVEIRA, 92",CHÁCARA SERGIPE,Da 101ª à 106ª; 218ª; 254ª; 284ª; 318ª; 350ª;,350ª;,283
SÃO BERNARDO DO CAMPO,IMS. INSTITUTO METODISTA DE ENSINO SUPERIOR,"AVENIDA DOM JAIME DE BARROS CÂMARA, 1000",PLANALTO,259ª; 288ª; 311ª; 321ª; 324ª; 327ª; 333ª; 341ª; 357ª; 361ª; 363ª; 365ª; 367ª; 370ª; 373ª; 378ª;,259ª; 288ª; 311ª; 321ª; 324ª; 327ª; 333ª; 341ª; 357ª; 361ª; 363ª; 365ª; 367ª; 370ª; 373ª;,283
,,,,,,283
SÃO BERNARDO DO CAMPO,EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO,"RUA FRANCISCO ALVES, 580",PAULICÉIA,Da 80ª à 98ª; 153ª;,95ª;,284
SÃO BERNARDO DO CAMPO,EE. ISMAEL DA SILVA JR.,"RUA JOÃO BATISTA DE ALMEIDA, 230",VILA FLÓRIDA,202ª; 212ª; 214ª; 222ª; 229ª; 234ª; 239ª;,,284
SÃO BERNARDO DO CAMPO,EE. LAURO GOMES DE ALMEIDA,"RUA GAL. CRAVEIRO LOPES, 110",VILA CAMARGO,Da 33ª à 45ª; 131ª; 136ª; 139ª; 143ª; 147ª; Da 184ª à 185ª;,184ª;,284
SÃO BERNARDO DO CAMPO,EE. MIN. LAUDO FERREIRA DE CAMARGO,"RUA JÚLIO DE MESQUITA, 757",PAULICÉIA,Da 67ª à 79ª; 164ª; 224ª;,79ª;,284
SÃO BERNARDO DO CAMPO,EE. PROF. AMADEU OLIVÉRIO,"RUA ITAÚNA, 66",VILA VIVALDI,Da 60ª à 66ª; 128ª; 135ª; 142ª; 146ª; 154ª; 158ª; 167ª; 172ª; 177ª; 186ª; 192ª; 198ª; 223ª;,158ª;,284
SÃO BERNARDO DO CAMPO,EE. PROF. JORGE RAHME,"AV. DO TABOÃO, 3550",TABOÃO,Da 99ª à 123ª; 163ª;,99ª; 100ª; 101ª; 123ª;,284
SÃO BERNARDO DO CAMPO,EE. PROFA. CYNIRA PIRES SANTOS,"RUA ÂNGELA THOMÉ, 134",RUDGE RAMOS,Da 13ª à 32ª; 155ª; 181ª;,,284
SÃO BERNARDO DO CAMPO,EMEB. ESCRITOR JÚLIO ATLAS,"RUA FRANCISCO ALVES, 1301",PAULICÉIA,129ª; 132ª; 137ª; 140ª; 144ª; 148ª; 157ª; 161ª; 168ª; 174ª; 178ª; 183ª; 187ª; 191ª; 195ª; 199ª;,157ª;,284
SÃO BERNARDO DO CAMPO,EMEB GONÇALVES DIAS,RUA GRA BRETANHA 250,TABOÃO,226ª; 232ª; 238ª;,,284
SÃO BERNARDO DO CAMPO,EMEB. PADRE FIORENTE ELENA,"RUA DRÁUSIO, 900",PAULICÉIA,201ª; 203ª; 209ª; 217ª; 220ª; 231ª; 235ª;,201ª;,284
SÃO BERNARDO DO CAMPO,EMEB. PAULO TEIXEIRA CAMARGO,"RUA LUZERN, 271",SUÍSSO,Da 149ª à 151ª; 156ª; 160ª; 170ª; 173ª; 180ª; 189ª; 197ª; 227ª;,156ª;,284
SÃO BERNARDO DO CAMPO,EMEB. PROF. KAZUÊ FUZINÁKA,"RUA CÂNDIDO PORTINARI , 205",PARQUE SÃO PEDRO,159ª; 162ª; 169ª; 171ª; 176ª; 179ª; 188ª; 194ª; 200ª;,159ª;,284
SÃO BERNARDO DO CAMPO,EMEB. PROF. OTÍLIO DE OLIVEIRA,"RUA LONDRINA, 350",RUDGE RAMOS,Da 1ª à 12ª; 166ª; 219ª;,219ª;,284
SÃO BERNARDO DO CAMPO,EMEB. RAMIRO GONÇALEZ FERNANDES,"RUA NIGÉRIA, 80",VILA NOVA SANTA LUZIA,Da 124ª à 127ª; 130ª; Da 133ª à 134ª; 138ª; 141ª; 145ª; 152ª; 175ª; 182ª; 190ª; 196ª; 206ª; 208ª;,206ª;,284
SÃO BERNARDO DO CAMPO,EMEB. VIRIATO CORREIA,"RUA BRASIL, 430",RUDGE RAMOS,Da 46ª à 59ª; 165ª;,50ª;,284
SÃO BERNARDO DO CAMPO,EMEBE. NEUSA BASSETTO,"RUA ENGENHEIRO ISAC GARCÊZ, 90",VILA CAMINHO DO MAR,193ª; 205ª; 210ª; 216ª; 221ª; 225ª; 230ª; 233ª; 237ª; 240ª;,,284
SÃO BERNARDO DO CAMPO,EXTERNATO RIO BRANCO,"RUA PIO XII, 45",PARQUE SANTO ANTONIO,204ª; 207ª; 211ª; 213ª; 215ª; 218ª; 228ª; 236ª;,228ª;,284
,,,,,,284
SÃO BERNARDO DO CAMPO,CENTRO DE DETENÇÃO PROVISÓRIA (CDP) DE SBCAMPO,"ESTRADA YAE MASSUMOTO, 800",COOPERATIVA,445ª.,,296
SÃO BERNARDO DO CAMPO,COLÉGIO ÁBACO,"AVENIDA JOÃO FIRMINO, 1.099",VILA SIMONE,Da 398ª à 399ª; 408ª; 411ª; 414ª; 418ª; 423ª; 433ª; 436ª; 440ª; 448ª; 451ª; 453ª; 456ª; 459ª; 466ª; 470ª;,398ª;,296
SÃO BERNARDO DO CAMPO,EE. DOUTOR JOÃO FIRMINO CORREIA DE ARAÚJO,"RUA MARIA AZEVEDO FLORENCE, 233",VILA CLARAVAL,Da 63ª à 75ª; 197ª; 267ª; 294ª;,75ª; 197ª; 267ª; 294ª;,296
SÃO BERNARDO DO CAMPO,EE. JEAN PIAGET,"RUA MARIA COPEINSK, 191",JARDIM DETROIT,Da 104ª à 111ª; 191ª; 226ª; 271ª; 315ª; 351ª; 371ª; 374ª; 387ª;,104ª; 105ª; 106ª; 107ª; 108ª; 109ª; 110ª;,296
SÃO BERNARDO DO CAMPO,EE. MÁRIO FRANCISCON,"ESTRADA DOS CASAS, 2650",JARDIM DO LAGO,240ª; 246ª; 253ª; 258ª; 270ª; 277ª; 292ª; 320ª; 337ª; 343ª; 347ª; 355ª; 358ª; 364ª; 375ª;,,296
SÃO BERNARDO DO CAMPO,EE. MIZUHO,"ESTRADA DO COOPERATIVA, 575",JARDIM FEI MIZUHO,Da 37ª à 46ª; 203ª; 298ª;,37ª; 38ª; 39ª; 40ª; 41ª; 42ª; 43ª; 44ª; 45ª; 46ª; 203ª; 298ª;,296
SÃO BERNARDO DO CAMPO,EE. PROFª. CLARICE MAGALHÃES CASTRO,"AVENIDA SENADOR RICARDO BATISTA, 355",VILA SIMONE,241ª; 262ª; 319ª; 342ª; 357ª; 362ª; 373ª; 379ª; 384ª; 389ª; 395ª;,384ª; 389ª; 395ª;,296
SÃO BERNARDO DO CAMPO,EE. PROF EUCLYDES DESLANDES,"ESTRADA DOS CASA, 2109",JARDIM IPÊ,Da 94ª à 103ª; 199ª; 213ª; 299ª; 336ª; 346ª;,94ª; 95ª; 96ª; 97ª; 98ª; 99ª; 100ª; 101ª; 102ª; 103ª; 199ª;,296
SÃO BERNARDO DO CAMPO,EE. PROF JOAO BATISTA BERNARDES,"RUA JOAO XXIII, 340",JARDIM NAZARETH,Da 84ª à 90ª; 198ª; 304ª; 349ª; 368ª; 386ª; 405ª; 422ª;,,296
SÃO BERNARDO DO CAMPO,EE. PROFª. MARIA AUXILIADORA MARQUES,"RUA DOS TAPIRANGÁS, 35",PARQUE DOS PÁSSAROS,243ª; 274ª; 318ª; 348ª; 361ª; 376ª; 393ª; 404ª; 424ª; 441ª; 454ª; 471ª; 474ª;,441ª;,296
SÃO BERNARDO DO CAMPO,EE. PROFª. MARIA OSÓRIO TEIXEIRA,"RUA JOSE DIAS DONADELLI, 567",JARDIM BELITA,Da 47ª à 53ª; 192ª; 204ª; 229ª; 334ª; 350ª; 365ª; 382ª; 401ª;,47ª; 48ª; 49ª; 50ª; 51ª; 52ª; 53ª;,296
SÃO BERNARDO DO CAMPO,EE. PROFª. NEUSA FIGUEIREDO MARÇAL,"RUA LÚCIA ZINCAGLIA , 401",VILA EURO,244ª; 257ª; 263ª; 297ª; 341ª; 356ª; 369ª; 380ª; 392ª; 402ª; 426ª; 444ª; 457ª;,257ª;,296
SÃO BERNARDO DO CAMPO,EE. REVERENDO OMAR DAIBERT,"RUA LEONARDO MARTINS NETO, 41",VILA CRUZEIRO,326ª; 338ª; 344ª; 359ª; 370ª; 381ª; 390ª; 412ª; 419ª; 427ª; 434ª; 438ª;,,296
SÃO BERNARDO DO CAMPO,EE. SANTA OLÍMPIA,"RUA FREIRE DE ANDRADE, 4",VILA RICA,Da 76ª à 83ª; 190ª; 205ª; 305ª; 366ª; 385ª; 400ª; 431ª;,76ª; 77ª; 78ª; 79ª; 80ª; 81ª; 82ª; 83ª; 190ª; 205ª;,296
SÃO BERNARDO DO CAMPO,EE. SENADOR ROBERT KENNEDY,"RUA NILO PEÇANHA, 200",VILA LUCIA,Da 10ª à 26ª; 195ª; 308ª; 352ª;,10ª; 11ª; 12ª;,296
SÃO BERNARDO DO CAMPO,EMEB. ESTUDANTE FLAMÍNIO ARAÚJO DE CASTRO RANGEL,"RUA ASSUNÇÃO, 176",VILA MARCHI,Da 1ª à 9ª; 194ª;,1ª; 2ª; 3ª; 4ª; 5ª; 6ª; 7ª; 8ª; 9ª; 194ª;,296
SÃO BERNARDO DO CAMPO,EMEB. ARI LACERDA RODRIGUES,"RUA PRIMEIRO DE MAIO, 180",JARDIM DO LAGO,450ª; 461ª; 469ª; 472ª;,461ª;,296
SÃO BERNARDO DO CAMPO,EMEB. FLORESTAN FERNANDES,"RUA CAMINHO DA EDUCAÇÃO, 330",VILA FERREIRA,416ª; 421ª; 430ª; 437ª; 446ª; 452ª; 465ª;,416ª;,296
SÃO BERNARDO DO CAMPO,EMEB. LOPES TROVÃO,"RUA AUSTRÁLIA, 120",JARDIM SANTO IGNÁCIO,Da 54ª à 62ª; 196ª; 306ª;,54ª; 55ª; 56ª; 57ª; 58ª; 59ª; 60ª; 61ª; 62ª; 196ª; 306ª;,296
SÃO BERNARDO DO CAMPO,EMEB. MARCOS ROGÉRIO DA ROSA,"ESTRADA DOS CASA, 3681",JARDIM DO LAGO,378ª; 383ª; 388ª; 394ª; 397ª; 406ª; 410ª; 413ª; 415ª; 420ª; 425ª; 429ª; 435ª; 443ª; 449ª;,388ª; 394ª;,296
SÃO BERNARDO DO CAMPO,EMEB. MARIANA NEVES INTERLICHE,"RUA ANGELO PESSOTTI, 442",VILA CLARAVAL,328ª; 340ª; 345ª; 354ª; 360ª; 372ª;,328ª; 340ª; 345ª; 354ª; 360ª; 372ª;,296
SÃO BERNARDO DO CAMPO,EMEB. MAURÍCIO CAETANO DE CASTRO,"RUA ALEXANDRE BONÍCIO, 259",ALVES DIAS,242ª; 287ª; 339ª; 353ª; 367ª; 377ª; 391ª;,242ª; 287ª; 339ª; 353ª; 367ª; 377ª; 391ª;,296
SÃO BERNARDO DO CAMPO,EMEB. MOYSÉS CHEID,"RUA JOÃO XXIII, 660",JARDIM NAZARETH,432ª; 447ª; 458ª;,447ª;,296
SÃO BERNARDO DO CAMPO,EMEB. ONDINA IGNEZ DE OLIVEIRA,"RUA CÂNDIDO JOSÉ CASA, 177",JARDIM CLÁUDIA,462ª; 468ª;,462ª;,296
SÃO BERNARDO DO CAMPO,EMEB. PROFº. ÁUREO CRUZ,"RUA LÁZARO ZAMENHOF, S/N",JARDIM BRASILÂNDIA,407ª; 409ª; 417ª; 428ª; 442ª; 460ª;,407ª;,296
SÃO BERNARDO DO CAMPO,EMEB. PROFº. PEDRO AUGUSTO GOMES CARDIM,"RUA TERESINA CAPITÂNEO FANTINATI, 200",JARDIM DAS PALMEIRAS,Da 27ª à 36ª; 202ª; 307ª;,27ª; 28ª; 29ª; 30ª; 31ª; 32ª; 33ª;,296
SÃO BERNARDO DO CAMPO,EMEB. PROFº. SALVADOR GORI,"ESTRADA PARTICULAR FUKUTARO YIDA, 700",JARDIM UENOYAMA,Da 91ª à 93ª; 206ª; 316ª; 363ª; 396ª; 403ª; 439ª; 455ª; 473ª;,91ª; 92ª; 93ª; 206ª; 316ª; 363ª; 396ª; 403ª; 439ª; 455ª;,296
